¥i§ë¸ê,¤½¥q¥N½X,¶}½L»ù,³Ì°ª»ù,³Ì§C»ù,¦¬½L»ù,º¦¶^,¥»¯q¤ñ,¦¨¥æ¶q,¦P·~¥­§¡¥»¯q¤ñ,´Þ§Q²v,Á`¥«­È,¤µ¦~¥H¨Ó,¨CªÑ²b­È(¤¸),¨©¥L­È,¨C¤HÀç¦¬(¥a¤¸),¼Ð·Ç®t,¨CªÑÀç¦¬(¤¸),­t¶Å¤ñ¨Ò,ªÑ»ù²b­È¤ñ,"ªÑ¥»(»õ, ¥x¹ô)",Àç·~¤ò§Q²v,²{ª÷ªÑ§Q(¤¸),Àç·~§Q¯q²v,µ|«e²b§Q²v,¸ê²£³ø¹S²v,ªÑªFÅv¯q³ø¹S²v
§_,1301,100.5,101.5,100.0,101.0,1.0,5.49,2605,20.15,5.64,642940,6.75,57.79,0.15,7989,1.41,9.01,28.91,1.75,636.57,14.7,5.7,9.41,34.51,3.48,4.94
§_,1437,17.75,17.85,17.7,17.85,0.05,7.44,55,30.44,5.6,3630,9.58,27.0,0.26,0,0.96,0.62,45.4,0.66,20.34,70.21,0.5,48.38,62.19,0.79,1.22
§_,1434,34.2,34.2,33.9,34.0,-0.2,7.39,1078,30.13,5.59,57279,15.14,49.42,0.25,1114,1.28,6.74,17.52,0.69,168.47,12.12,1.9,5.71,29.49,3.13,3.93
§_,8215,16.1,16.45,16.0,16.1,0.05,0.0,589,72.78,5.59,5163,-15.57,12.55,1.49,0,2.08,10.52,60.38,1.28,32.07,14.53,0.9,3.22,3.4,1.18,2.52
§_,6176,83.2,86.3,83.2,86.0,3.3,0.0,14835,72.78,5.58,39992,31.88,51.31,1.21,0,2.15,29.94,57.26,1.68,46.5,17.7,4.8,11.68,15.48,3.16,7.13
§_,6205,21.6,21.7,21.45,21.6,0.1,0.0,34,15.15,5.56,1552,-27.27,22.99,1.24,0,1.31,5.42,26.03,0.94,7.18,31.88,1.2,12.42,19.69,2.65,3.7
§_,4746,36.55,36.7,34.8,36.05,-0.7,43.13,900,38.85,5.55,3569,-45.72,42.79,1.04,927,2.29,6.92,44.75,0.84,9.9,31.07,2.0,0.69,-18.52,-1.66,-3.15
§_,1704,52.4,52.5,52.3,52.4,0.1,9.55,497,22.47,5.53,44771,14.19,36.73,0.41,7159,1.13,15.64,40.33,1.43,85.44,13.41,2.89924571,6.2,9.12,1.76,2.9
§_,4562,36.85,36.85,35.6,36.15,0.05,40.0,27,15.82,5.53,2442,-7.21,18.31,1.03,780,1.19,5.53,58.97,1.97,6.75,40.32,2.0,16.95,14.2,1.49,3.4
§_,5264,44.0,45.3,43.15,45.3,0.9,69.38,1806,16.63,5.53,19079,-53.57,76.24,1.09,260,3.14,18.25,39.04,0.59,42.12,2.29,2.50445943,-6.22,-5.34,-1.35,-2.31
§_,2236,28.4,28.7,27.65,27.65,-2.2,10.94,184,15.82,5.52,1136,-41.06,27.27,0.51,0,2.25,11.28,40.76,1.01,4.11,23.52,0.76268847,3.48,3.54,0.69,0.95
§_,3021,13.5,13.65,13.5,13.6,0.1,18.52,90,14.82,5.51,1303,-2.16,12.39,0.82,509,1.56,6.52,46.18,1.1,9.58,22.54,0.75,6.19,8.63,1.74,3.14
§_,2597,43.8,43.9,42.55,42.7,-0.7,14.51,282,30.3,5.5,5765,19.91,31.76,0.69,0,0.89,16.2,43.57,1.34,13.5,16.11,2.35,8.53,15.49,3.03,5.4
§_,2929,97.0,97.8,95.9,96.9,0.3,17.6,254,22.45,5.5,7627,-10.69,58.21,0.79,9740,1.45,20.04,40.22,1.66,7.87,39.17,4.83,15.52,13.01,1.99,3.17
