¥i§ë¸ê,¤½¥q¥N½X,¶}½L»ù,³Ì°ª»ù,³Ì§C»ù,¦¬½L»ù,º¦¶^,¥»¯q¤ñ,¦¨¥æ¶q,¦P·~¥­§¡¥»¯q¤ñ,´Þ§Q²v,Á`¥«­È,¤µ¦~¥H¨Ó,¨CªÑ²b­È(¤¸),¨©¥L­È,¨C¤HÀç¦¬(¥a¤¸),¼Ð·Ç®t,¨CªÑÀç¦¬(¤¸),­t¶Å¤ñ¨Ò,ªÑ»ù²b­È¤ñ,"ªÑ¥»(»õ, ¥x¹ô)",Àç·~¤ò§Q²v,²{ª÷ªÑ§Q(¤¸),Àç·~§Q¯q²v,µ|«e²b§Q²v,¸ê²£³ø¹S²v,ªÑªFÅv¯q³ø¹S²v
§_,6196,52.1,52.7,51.0,51.0,-1.1,0.0,1389,26.7,4.86,9097,35.42,30.15,1.23,3940,2.68,34.67,69.58,1.69,17.84,12.97,2.4809303,5.56,5.63,1.71,5.42
§_,1731,12.35,12.4,12.35,12.4,0.05,9.87,42,38.85,4.84,1648,-6.98,13.1,0.43,1072,1.43,2.03,36.44,0.95,13.29,59.73,0.6,16.37,15.51,1.17,1.83
§_,2915,82.3,85.5,82.3,82.7,0.9,17.51,3047,22.45,4.84,46714,13.1,68.24,0.79,0,1.75,2.94,40.48,1.21,56.49,23.63,4.0,1.88,188.51,3.65,5.96
§_,2474,257.0,257.0,247.0,249.0,-6.5,13.39,8061,26.7,4.82,191827,-21.47,186.12,0.64,0,2.16,32.57,40.5,1.34,77.04,42.4,12.0,33.03,44.72,2.8,4.62
§_,1722,43.2,43.65,43.05,43.65,0.6,9.79,1608,22.47,4.81,42777,19.59,50.85,0.42,4459,0.99,3.03,34.7,0.86,98.0,23.83,2.1,12.6,23.39,0.74,1.15
§_,2415,21.5,21.7,20.8,20.85,-0.5,12.4,704,14.82,4.8,1668,-17.39,19.39,0.6,383,2.7,7.37,59.79,1.08,8.0,26.71,1.0,9.2,6.94,0.68,1.3
§_,6215,12.6,12.7,12.45,12.55,0.1,0.0,64,26.7,4.78,1039,-33.6,14.18,1.25,1149,2.98,4.52,45.66,0.89,8.28,27.15,0.6,4.59,2.92,0.35,0.45
§_,2809,31.55,31.65,31.3,31.6,0.05,15.77,1319,11.53,4.75,36379,-11.48,32.68,0.73,2271,1.42,1.95,86.8,0.97,115.12,0.0,1.5,0.0,67.38,0.47,3.58
§_,2801,17.85,18.05,17.7,17.95,0.1,15.7,4490,11.53,4.74,175722,15.51,15.79,0.73,1664,0.72,1.12,92.58,1.14,978.95,0.0,0.45,0.0,36.25,0.16,2.23
§_,1726,74.4,74.4,74.0,74.0,-0.2,9.83,29,22.47,4.73,11988,-4.52,51.33,0.42,1886,0.69,12.38,15.92,1.44,16.2,22.93,3.5,8.72,11.03,1.82,2.22
§_,2618,14.8,14.8,14.65,14.8,0.0,15.17,6483,22.46,4.73,64855,-0.67,14.44,0.71,2687,1.05,10.81,70.41,1.02,438.21,14.94,0.2,8.62,7.4,1.36,4.12
§_,3023,84.4,84.5,83.7,84.5,0.3,18.69,370,14.82,4.73,19048,2.66,27.74,0.83,767,1.47,19.49,52.18,3.05,22.54,24.94,4.0,12.53,14.56,3.53,7.48
§_,1617,12.85,12.85,12.6,12.75,0.1,9.38,15,14.36,4.71,1839,-15.67,11.81,0.4,1526,1.91,6.5,46.52,1.08,14.42,14.09,0.6,6.09,8.41,2.15,4.0
§_,2849,12.85,12.85,12.7,12.8,0.1,16.18,25,11.53,4.69,19241,0.16,18.75,0.74,1337,1.49,1.16,89.6,0.68,150.32,0.0,0.6,0.0,34.09,0.16,1.54
§_,2455,55.0,55.6,52.5,53.4,-1.6,13.1,4107,36.37,4.68,9874,-41.18,14.48,0.63,2122,3.96,2.48,32.87,3.69,18.49,36.65,2.5,18.28,18.65,1.67,2.56
§_,2823,29.9,29.95,29.75,29.95,0.05,15.86,3533,11.53,4.67,120207,8.63,22.67,0.73,0,1.12,22.82,94.57,1.32,401.36,6.31,0.8,4.99,4.98,0.26,4.93
§_,2888,10.35,10.4,10.25,10.3,-0.05,16.74,10902,11.53,4.66,125511,2.39,14.18,0.76,1235,1.74,2.23,95.26,0.73,1218.55,0.0,0.33602679,0.0,6.14,0.01,0.26
§_,1525,52.4,52.4,51.5,51.6,0.0,8.74,19,15.82,4.65,3787,-42.13,53.71,0.37,1018,1.81,4.12,18.29,0.96,7.34,8.61,2.4,0.29,34.25,1.95,2.41
§_,4306,13.0,13.0,12.6,12.85,-0.3,34.25,1242,20.15,4.65,6811,-9.19,17.65,1.01,0,2.31,9.98,72.4,0.73,53.01,10.49,0.59696,2.14,-0.39,0.2,-0.43
§_,6164,8.5,8.66,8.5,8.6,0.09,0.0,32,72.78,4.65,860,-31.8,11.88,1.19,0,1.5,2.55,43.4,0.72,10.0,33.24,0.4,0.74,0.33,0.16,0.18
§_,1724,12.9,12.95,12.85,12.95,0.05,9.8,4,22.47,4.63,1655,-4.71,15.23,0.42,0,0.77,4.03,31.79,0.85,12.78,10.46,0.6,2.0,2.25,0.37,0.51
§_,5285,68.3,68.7,68.2,68.5,0.2,75.75,49,53.15,4.62,5741,-25.5,25.22,1.09,1860,1.99,16.0,51.84,2.72,8.38,18.02,3.162804,9.82,10.08,2.71,5.42
§_,5876,39.0,39.15,38.7,39.05,-0.1,245.0,3343,11.53,4.61,160168,0.0,31.34,1.13,0,0.0,2.99,90.68,1.25,410.16,0.0,1.8,0.0,48.1,0.26,2.81
§_,9917,87.1,87.1,85.6,86.9,-0.2,0.0,229,30.44,4.6,39209,-0.74,22.24,0.0,352,0.6,7.52,48.58,3.91,45.12,36.26,4.0,19.1,19.86,2.55,5.27
§_,2105,39.4,39.4,39.0,39.25,0.15,10.65,2613,25.36,4.59,127226,-22.2,24.11,0.49,893,1.26,8.5,54.37,1.63,324.14,21.43,1.8,6.35,3.5,0.46,0.56
§_,6183,32.75,32.75,32.75,32.75,0.0,0.0,2,16.31,4.58,4913,9.72,14.01,1.21,0,0.98,2.85,21.1,2.34,15.0,43.34,1.5,24.33,25.16,3.15,4.15
§_,3003,39.95,40.0,39.35,39.4,0.1,17.91,455,14.82,4.57,6133,-35.72,28.62,0.8,908,2.02,6.01,28.2,1.38,15.57,32.73,1.8,18.85,18.22,2.03,2.82
§_,1414,7.06,7.18,6.95,7.01,-0.11,7.15,169,30.13,4.56,1542,-0.85,14.08,0.23,998,1.59,1.09,30.4,0.5,22.0,9.81,0.32,0.63,8.36,0.51,0.69
§_,1524,9.85,9.95,9.84,9.86,0.03,8.69,73,15.82,4.56,1772,-13.13,12.38,0.36,1141,1.23,3.35,54.33,0.8,17.97,21.38,0.45,10.69,10.81,1.15,2.38
§_,1539,22.4,22.9,21.85,22.0,-0.3,8.95,354,15.82,4.55,1438,14.46,17.44,0.38,2979,2.75,10.21,62.9,1.26,6.54,10.59,1.0,5.49,4.19,0.84,1.83
§_,2461,12.3,12.45,12.3,12.4,0.15,13.25,201,26.7,4.52,2050,-21.57,17.23,0.64,1129,1.54,8.41,47.52,0.72,16.53,22.4,0.56,4.96,3.29,0.46,0.69
§_,3454,89.5,89.6,88.2,88.4,-1.7,24.25,396,72.78,4.52,7468,-1.43,32.02,0.9,0,1.72,15.34,32.99,2.76,8.45,32.71,4.0,4.88,5.27,1.24,0.0
§_,1714,6.76,6.76,6.62,6.65,-0.08,9.66,1560,22.47,4.51,6762,-31.86,10.93,0.42,7318,1.78,7.58,46.57,0.61,101.68,7.47,0.3,2.46,1.74,0.44,0.43
§_,6416,78.0,79.2,78.0,78.2,-0.6,0.0,80,36.37,4.51,5320,0.0,35.32,1.33,8944,0.0,16.56,35.53,2.21,6.8,20.56,3.5293642,11.43,11.59,3.02,4.42
§_,6464,113.0,113.0,113.0,113.0,-0.5,0.0,2,30.42,4.51,14344,-0.74,52.32,1.36,1214,1.0,5.84,27.69,2.16,12.69,42.76,5.0,24.33,28.56,1.89,2.64
§_,2881,51.2,51.2,50.7,51.1,-0.1,16.4,6495,11.53,4.5,522937,5.34,43.96,0.75,899,1.11,3.45,92.96,1.16,1023.36,0.0,2.3,0.0,54.37,0.21,2.86
§_,2412,107.5,108.0,106.0,107.0,0.0,12.35,10449,36.37,4.48,830047,5.48,47.52,0.6,2346,0.67,6.79,17.1,2.25,775.74,34.67,4.796,19.76,20.61,1.86,2.33
§_,6531,44.4,44.5,44.1,44.35,0.1,0.0,93,53.15,4.48,3334,-49.09,36.18,1.37,7281,2.99,15.88,36.54,1.23,7.52,17.03,1.49137055,4.76,5.7,1.68,2.42
§_,8464,219.0,225.5,219.0,224.0,7.0,0.0,477,30.44,4.46,65636,-26.68,39.34,1.57,566,2.49,19.78,33.54,5.69,29.3,46.3,10.0,23.15,25.83,6.02,9.69
§_,1312,22.5,22.7,22.45,22.6,0.15,6.15,3729,20.15,4.42,20490,-25.66,24.7,0.17,5760,2.46,7.28,14.52,0.91,90.66,18.86,1.0,13.87,18.52,3.41,4.06
§_,1592,22.9,23.0,22.6,22.6,-0.15,9.13,39,15.82,4.42,2270,-29.94,27.69,0.39,704,1.88,11.27,64.05,0.82,10.04,24.73,1.0,-8.6,-12.33,-0.95,-3.8
§_,3038,9.3,9.3,9.21,9.23,-0.05,19.37,47,72.78,4.42,1656,-3.45,11.38,0.84,644,1.22,4.87,45.21,0.81,17.94,19.75,0.4082768,5.78,8.49,1.61,0.0
§_,1409,11.35,11.4,11.2,11.35,0.15,7.01,2879,30.13,4.41,18369,17.13,18.22,0.21,0,1.66,-11.26,74.71,0.62,161.84,0.0,0.5,0.0,0.0,0.0,2.77
§_,1730,51.2,51.8,50.7,51.4,0.2,9.87,199,22.47,4.41,3059,31.09,23.6,0.43,2172,1.14,13.68,44.63,2.18,5.95,43.99,2.26844415,14.93,15.4,3.93,6.57
§_,2426,15.95,16.1,15.7,15.9,0.0,12.53,1976,72.78,4.4,4780,3.99,12.94,0.61,649,2.81,2.59,42.6,1.23,30.06,21.27,0.69999716,9.31,1.91,0.08,-0.01
§_,2345,92.8,94.6,92.8,94.2,1.4,11.51,3593,36.37,4.39,52438,-7.18,17.0,0.54,0,3.26,20.28,54.25,5.54,55.67,19.87,4.1311,9.25,9.64,4.04,9.16
§_,1455,9.12,9.17,9.09,9.13,0.01,7.9,532,30.13,4.38,5585,-25.71,12.84,0.3,3081,1.61,6.41,36.88,0.71,61.18,3.87,0.4,0.52,2.41,0.67,1.08
§_,1568,18.3,18.5,18.15,18.25,0.0,9.03,41,15.82,4.38,1881,-47.1,15.49,0.39,625,2.07,5.79,56.42,1.18,10.31,12.29,0.8,2.52,-0.72,0.19,0.12
§_,6166,34.55,34.9,34.35,34.35,-0.6,0.0,146,16.63,4.37,7472,-44.65,20.37,1.2,1379,1.46,11.52,44.75,1.69,21.75,36.09,1.50000045,3.26,3.02,0.74,1.31
§_,2107,14.85,14.9,14.75,14.9,0.05,10.7,278,25.36,4.36,5513,-4.18,29.63,0.49,1513,0.8,0.89,24.87,0.5,37.0,25.8,0.65,10.51,47.48,1.07,1.39
§_,9945,45.5,46.45,45.45,45.85,0.8,0.0,2217,30.44,4.36,45999,2.85,45.0,0.0,0,1.33,3.82,51.7,1.02,100.33,23.87,2.0,13.22,88.06,3.08,5.97
§_,2748,63.2,63.2,63.2,63.2,0.0,15.7,0,53.92,4.35,4148,-2.98,16.96,0.73,353,1.54,4.19,41.23,3.73,6.56,29.82,2.75,10.17,9.9,1.23,1.98
§_,2454,231.5,235.0,229.5,231.5,1.5,13.09,3911,53.15,4.32,368437,-18.39,170.79,0.63,3884,2.29,42.32,35.61,1.36,159.15,38.53,10.0,9.41,11.42,1.67,2.58
§_,2608,37.0,37.1,36.95,37.0,0.4,14.83,32,22.46,4.32,17279,0.76,18.32,0.7,0,0.79,5.67,43.11,2.02,46.7,18.75,1.6,14.46,15.07,2.17,3.79
§_,4438,102.5,105.5,102.0,105.5,3.5,35.36,117,30.13,4.32,10906,-16.26,63.75,1.01,420,1.58,59.42,42.17,1.65,10.34,18.79,4.56,13.7,13.6,5.23,0.0
§_,5533,16.1,16.4,16.1,16.2,0.1,165.0,164,30.3,4.32,4621,6.09,25.99,1.11,1185,0.92,1.88,48.74,0.62,28.52,30.07,0.7,12.83,10.41,0.41,0.62
§_,5288,92.9,93.7,92.0,93.0,0.0,77.89,189,15.82,4.3,6122,14.22,41.27,1.09,346,1.02,18.58,29.55,2.25,6.58,17.55,4.0,12.67,15.26,3.84,0.0
§_,6641,69.7,70.3,69.2,70.0,-0.1,0.0,110,30.44,4.3,2380,0.0,32.98,1.4,0,0.0,15.01,29.51,2.12,3.4,40.26,3.01,15.87,16.42,4.44,6.85
§_,1227,47.5,47.6,46.5,46.6,-0.4,4.54,743,27.27,4.29,42643,-34.87,16.53,0.1,1970,1.29,7.79,31.97,2.82,91.51,32.61,2.0,13.2,18.56,4.85,7.32
§_,1315,25.75,26.0,25.7,25.7,0.2,6.31,1023,20.15,4.28,5089,4.6,42.51,0.18,0,0.62,3.81,21.06,0.6,19.8,18.02,1.1,4.44,42.76,2.9,3.69
§_,2231,217.0,219.5,205.5,205.5,-6.5,10.91,2212,15.82,4.27,23579,-13.68,28.68,0.51,1581,3.02,8.85,40.58,7.17,11.47,47.59,7.47177882,29.38,29.39,3.83,6.56
§_,8454,187.0,189.5,186.5,187.5,1.0,0.0,142,22.45,4.27,26636,-10.82,40.95,1.56,5373,1.65,70.05,45.91,4.58,14.21,9.61,8.0,2.55,2.65,2.95,5.54
§_,4958,77.9,78.8,75.7,77.5,1.0,56.52,21866,14.82,4.26,62368,24.38,64.68,1.06,867,2.04,43.92,46.32,1.2,80.47,25.76,3.3,16.21,17.11,4.05,7.73
§_,6573,23.5,23.75,23.25,23.5,0.0,0.0,59,53.15,4.26,1548,-63.33,21.01,1.38,0,3.33,7.35,58.88,1.12,6.59,11.69,1.0,-3.05,-5.2,-0.33,-1.43
§_,2379,129.5,130.5,126.5,129.5,0.0,11.98,2511,53.2,4.25,65798,23.35,46.26,0.58,2717,2.35,23.79,61.78,2.8,50.81,47.02,5.5,10.58,12.44,2.42,6.19
§_,2906,9.55,9.55,9.36,9.42,0.01,17.18,103,22.45,4.25,1970,-12.78,13.96,0.77,3644,1.1,8.63,31.95,0.67,20.91,21.44,0.4,0.06,0.8,0.07,0.08
§_,1530,29.65,29.65,29.5,29.5,-0.25,8.81,13,15.82,4.24,2850,-4.35,29.6,0.37,1518,1.44,12.66,61.14,1.0,9.66,19.14,1.25,8.03,7.21,0.72,1.65
§_,8103,23.45,23.6,23.3,23.6,0.1,0.0,37,14.82,4.24,1921,-21.85,30.05,1.44,0,1.6,10.39,38.6,0.79,8.14,29.59,1.0,11.89,14.66,1.88,3.02
§_,1727,14.1,14.2,14.1,14.2,0.0,9.84,38,22.47,4.23,1566,-11.31,13.4,0.43,1993,1.39,5.93,41.74,1.06,11.03,13.03,0.6,4.03,5.2,0.92,1.49
§_,5871,96.3,96.3,94.0,94.5,-2.2,222.78,3995,30.44,4.23,121859,15.4,44.87,1.13,2991,1.82,9.83,84.09,2.11,128.95,64.66,3.8,36.13,37.41,0.95,5.93
§_,3703,14.1,14.25,14.05,14.25,0.4,28.08,4400,30.3,4.21,11731,-8.18,28.44,0.98,0,1.56,7.76,61.44,0.5,82.32,16.26,0.6,11.26,16.16,1.64,4.16
§_,6591,49.2,49.2,47.1,47.5,-1.0,0.0,68,16.63,4.21,1126,-45.7,37.05,1.39,274,0.0,10.37,31.48,1.28,2.37,14.73,2.0,-0.01,4.29,0.52,0.76
§_,3711,59.9,59.9,59.2,59.5,0.0,30.09,5711,53.15,4.2,257049,0.0,46.46,0.99,0,0.0,25.34,60.61,1.28,432.01,17.08,2.49925781,7.78,7.54,1.18,2.12
§_,1535,30.05,30.05,30.0,30.0,-0.05,8.88,7,15.82,4.17,3712,-27.45,23.96,0.38,2141,1.61,20.82,59.23,1.25,12.37,3.6,1.25,-0.93,0.48,0.19,0.41
§_,2106,29.0,29.05,28.9,29.0,0.15,10.68,103,25.36,4.14,25358,-19.76,21.43,0.49,720,1.2,8.95,53.16,1.35,87.44,17.0,1.2,0.52,4.98,0.84,1.55
§_,2360,110.0,111.5,107.5,108.0,-1.0,11.68,1924,26.7,4.14,44751,-31.46,33.76,0.55,1566,3.25,9.48,38.47,3.2,41.44,45.86,4.47539992,19.48,19.63,2.54,4.43
§_,2852,14.35,14.5,14.25,14.5,0.15,16.23,172,11.53,4.14,4367,4.47,20.2,0.74,1765,0.98,5.04,61.66,0.72,30.12,34.53,0.6,13.69,13.69,1.1,2.93
§_,2328,19.15,19.4,19.0,19.35,0.35,11.35,4070,14.82,4.13,10030,-20.73,20.71,0.53,847,2.07,14.64,43.26,0.93,51.83,10.25,0.8,5.94,8.94,2.46,4.22
§_,4763,121.5,122.0,120.5,121.5,0.0,44.81,57,22.47,4.12,5647,-27.14,24.95,1.05,2127,1.65,9.11,43.34,4.87,4.65,26.79,5.0,12.35,10.36,2.43,4.16
§_,1603,24.45,24.45,24.45,24.45,0.45,9.17,2,14.45,4.09,4687,-10.99,31.05,0.39,0,1.4,4.82,38.36,0.79,19.17,13.78,1.0,11.51,15.58,1.32,2.07
§_,1708,24.6,24.7,24.5,24.65,0.0,9.62,541,22.47,4.06,4966,-13.81,28.38,0.41,4263,1.2,5.69,49.67,0.87,20.14,27.91,1.0,14.93,12.5,1.23,1.9
§_,4148,65.1,66.0,63.5,65.2,0.0,33.56,350,38.85,4.06,4175,-48.06,33.44,1.0,0,3.4,11.89,19.44,1.95,6.4,29.44,2.65,12.0,14.54,3.07,4.01
§_,2606,30.7,30.7,29.55,29.7,-1.05,14.76,3410,22.46,4.04,25098,-15.6,31.48,0.7,4424,1.71,4.29,60.93,0.94,84.51,18.07,1.2,15.53,20.72,1.35,2.94
§_,2634,28.45,28.55,28.15,28.2,-0.25,15.26,813,22.46,4.01,26561,-21.01,14.54,0.71,1608,0.98,7.55,62.97,1.94,94.19,15.66,1.13,11.46,11.46,1.91,4.98
§_,8480,125.0,125.0,124.5,125.0,1.0,0.0,21,30.44,4.0,4909,11.41,39.27,1.59,586,1.52,11.55,18.32,3.18,3.93,28.04,4.0,15.46,17.67,4.05,5.03
¬O,9926,40.0,40.0,40.0,40.0,0.0,0.0,0,18.01,4.0,7180,2.35,16.08,0.0,0,0.7,2.76,49.2,2.49,17.95,23.47,1.6,14.94,24.23,1.82,3.7
§_,9907,12.5,12.55,12.4,12.55,0.0,0.0,853,30.44,3.98,19818,-6.27,11.61,2.0,0,0.91,5.84,48.2,1.08,157.91,8.54,0.5,2.65,1.22,0.34,0.32
§_,3060,14.7,15.1,14.7,15.1,0.45,20.67,260,16.63,3.97,2104,-42.15,26.95,0.87,475,2.02,12.6,41.86,0.56,13.94,6.0,0.6,-4.32,-2.35,-0.54,-1.01
§_,2605,15.2,15.25,15.05,15.15,0.0,14.6,928,22.46,3.96,8610,-25.48,27.36,0.7,2761,1.72,1.84,28.83,0.55,56.83,17.64,0.6,13.7,8.85,0.56,0.52
¬O,2458,65.4,66.0,64.6,65.3,-0.5,13.15,1341,53.15,3.95,19843,12.33,21.35,0.63,2138,2.26,8.52,42.74,3.06,30.39,46.11,2.58,22.84,23.81,4.32,7.23
¬O,2706,14.0,14.05,13.95,14.05,0.05,15.55,51,53.92,3.94,7025,-5.39,17.5,0.72,1719,0.51,0.17,14.62,0.8,50.0,72.03,0.276,63.15,251.38,1.7,1.99
¬O,2701,12.7,12.7,12.6,12.7,0.0,15.46,60,53.92,3.94,5715,-0.55,16.05,0.72,3494,0.59,0.21,15.26,0.79,45.0,54.55,0.245,46.93,170.83,1.52,1.8
¬O,2308,130.5,130.5,126.5,127.5,-2.5,11.1,6720,14.82,3.92,331187,-6.9,47.54,0.52,0,1.81,24.49,47.95,2.68,259.75,27.94,5.0,9.38,11.56,2.5,4.76
§_,1304,12.75,13.15,12.7,12.8,0.35,5.66,2701,20.15,3.91,15216,-20.9,17.21,0.15,3027,1.17,14.28,46.64,0.74,118.88,7.93,0.3,2.17,2.9,0.6,0.97
§_,1103,12.6,12.9,12.6,12.85,0.35,1.74,949,16.27,3.89,9956,-0.46,32.2,-0.22,0,1.69,0.77,30.43,0.4,77.48,15.1,0.5,-3.39,107.6,1.75,0.0
§_,6414,229.5,233.5,226.0,229.0,0.5,0.0,892,16.63,3.88,17749,-47.9,95.1,1.32,0,3.09,259.79,65.2,2.41,7.75,20.94,8.87765192,4.63,5.36,1.34,3.5
§_,1514,12.75,13.0,12.7,12.95,0.1,8.58,635,15.82,3.86,2604,12.9,13.96,0.35,0,2.86,4.63,47.3,0.93,20.11,16.48,0.5,3.61,5.12,0.85,1.55
§_,1402,31.6,31.65,30.75,31.2,-0.3,7.0,8464,30.13,3.85,167010,20.79,37.78,0.21,0,1.75,11.55,51.43,0.83,535.29,19.84,1.2,8.12,9.94,1.09,2.07
§_,5907,31.0,31.3,29.8,31.3,-0.8,299.29,5221,22.45,3.83,6181,42.27,50.51,1.15,0,2.47,7.12,49.66,0.62,19.75,76.31,1.2,3.16,2.78,0.05,-0.18
§_,9908,28.7,28.75,28.6,28.7,0.0,0.0,69,18.01,3.83,14819,11.89,21.48,2.01,0,0.49,1.83,27.88,1.34,51.64,23.9,1.1,17.36,41.18,2.08,2.94
§_,9930,52.5,52.5,52.2,52.4,0.0,0.0,11,30.44,3.82,13023,-0.68,18.79,0.0,4387,0.74,9.39,46.87,2.79,24.85,16.93,1.0,12.03,12.29,2.6,4.98
¬O,1323,33.6,34.2,33.5,34.1,0.15,6.54,169,20.15,3.81,3112,-8.43,20.86,0.2,701,1.64,10.74,47.19,1.63,9.13,23.84,1.3,12.56,13.35,2.32,4.38
¬O,1540,15.65,15.75,15.6,15.75,0.05,8.95,34,15.82,3.81,1346,4.1,16.55,0.38,1608,1.62,2.2,23.69,0.95,8.55,30.2,0.6,19.81,15.31,1.26,1.64
§_,6409,533.0,533.0,517.0,525.0,0.0,0.0,15,26.7,3.81,41310,6.03,50.13,1.31,1366,1.5,38.85,46.92,10.47,7.87,28.93,20.00081336,20.13,23.2,7.25,15.3
§_,8367,23.75,26.75,23.2,26.3,1.9,0.0,1242,22.46,3.8,2134,0.0,23.09,1.51,870,0.0,5.04,56.99,1.14,8.11,28.07,1.0,10.58,9.57,0.79,1.41
§_,6278,34.7,34.85,33.4,34.3,0.3,0.0,5619,72.78,3.79,10132,2.57,38.25,1.28,978,2.88,29.85,60.72,0.9,29.54,12.47,1.3,7.07,4.84,0.81,1.91
§_,4942,31.65,32.2,31.5,31.75,0.3,53.87,807,72.78,3.78,4520,43.8,47.84,1.06,0,1.87,13.54,28.49,0.66,14.24,22.97,1.2,12.89,17.37,2.62,3.64
§_,2367,13.0,13.5,12.8,13.3,0.3,11.76,14415,14.82,3.76,8238,-40.68,15.53,0.56,0,3.36,8.58,58.05,0.86,61.94,14.86,0.3,5.56,5.11,1.16,2.42
¬O,2617,18.8,19.2,18.45,18.6,0.25,15.15,4118,22.46,3.76,7762,16.18,24.46,0.71,0,2.07,2.18,31.94,0.76,41.73,26.43,0.7,21.42,44.4,2.69,3.83
§_,9918,31.95,31.95,31.9,31.9,-0.45,0.0,4,18.01,3.76,5759,2.77,16.09,0.0,0,1.29,2.24,37.63,1.98,18.05,18.78,1.2,7.88,1.17,-0.11,-0.18
§_,2012,20.0,20.0,20.0,20.0,0.1,10.26,32,35.73,3.75,5755,44.82,13.61,0.47,0,1.28,9.32,59.46,1.47,28.78,15.96,0.75,5.97,5.3,1.49,3.18
§_,4968,43.0,43.45,42.7,43.45,0.85,57.91,464,53.15,3.75,2623,-44.68,18.77,1.07,3541,3.09,11.08,43.36,2.31,6.04,33.05,0.63,8.49,9.25,2.83,4.89
§_,9931,32.15,32.15,32.0,32.0,-0.35,0.0,13,18.01,3.75,3272,6.21,18.23,0.0,3027,1.08,3.14,52.72,1.76,10.23,14.64,1.2,9.78,17.85,1.27,2.74
§_,3665,186.0,189.0,181.5,182.5,-0.5,26.56,5900,26.7,3.74,21629,-32.19,71.34,0.96,0,3.6,47.91,49.71,2.56,11.85,22.71,6.82777213,9.86,10.62,2.66,0.0
§_,6230,105.5,106.0,105.0,105.5,-0.5,0.0,1933,16.63,3.74,9109,12.45,41.78,1.25,990,2.16,24.27,46.95,2.53,8.63,18.92,3.95,10.16,13.33,2.62,4.94
§_,1810,7.98,8.04,7.98,8.04,0.06,10.11,51,39.87,3.73,2974,-15.9,15.02,0.45,1128,0.98,3.56,48.17,0.54,36.99,23.59,0.3,-2.3,-1.24,0.04,-0.2
§_,4943,125.0,134.0,121.5,134.0,12.0,54.05,3354,14.82,3.73,15797,-57.82,31.78,1.06,0,4.57,17.1,51.34,4.22,11.79,47.93,5.0,36.76,34.7,7.3,14.51
§_,2464,40.2,40.5,40.1,40.45,0.25,13.27,564,26.7,3.71,7909,-12.86,19.88,0.64,0,2.04,18.48,64.76,2.03,19.55,18.26,1.5,7.12,7.76,2.09,6.09
§_,1802,13.3,13.5,13.2,13.5,0.1,10.07,914,39.87,3.7,39259,-37.79,15.2,0.45,808,2.08,4.15,43.66,0.89,290.81,14.41,0.5,4.07,-0.02,0.04,-0.23
§_,6405,12.8,13.5,12.8,13.5,0.7,0.0,33,72.78,3.7,888,-40.82,28.48,1.3,374,2.16,2.62,30.36,0.47,6.58,14.82,0.5,-2.73,-2.34,-0.17,-0.34
§_,2897,8.18,8.18,8.1,8.15,-0.03,17.09,500,11.53,3.68,19666,-5.12,12.02,0.77,1943,0.69,1.16,91.78,0.68,241.3,0.0,0.3,0.0,23.52,0.08,1.0
§_,4144,27.8,27.8,27.1,27.15,-0.5,32.98,134,38.67,3.68,2094,-19.27,28.26,1.0,0,2.7,6.84,41.28,0.96,7.71,53.95,1.0,2.61,2.16,0.11,-0.15
¬O,1723,127.5,127.5,125.0,125.5,-1.5,9.8,175,22.47,3.67,29731,1.57,28.74,0.42,9303,1.43,9.98,41.13,4.37,23.69,25.94,4.6,21.62,23.32,3.76,6.55
§_,2353,19.1,19.55,19.05,19.05,-0.15,11.57,21239,16.63,3.67,58607,-18.69,19.05,0.55,9289,2.71,21.56,62.86,1.0,307.65,10.55,0.7,1.79,1.82,0.58,1.51
¬O,2816,18.75,19.15,18.65,19.1,0.4,15.8,384,11.53,3.66,4068,-1.09,22.49,0.73,1803,2.04,8.93,73.0,0.85,21.3,32.93,0.7,7.96,8.15,0.8,3.08
¬O,1256,138.5,139.0,137.0,137.0,-1.5,5.34,34,27.27,3.65,4215,-1.81,54.41,0.12,1655,2.0,33.4,35.6,2.52,3.08,38.01,5.0,23.41,22.82,6.31,0.0
§_,2002,24.25,24.25,23.9,24.1,0.0,10.21,31499,35.73,3.65,379210,0.96,20.16,0.46,3642,0.89,6.65,49.51,1.2,1573.49,13.84,0.88,9.95,9.46,1.3,2.43
§_,4137,221.0,226.0,221.0,221.0,1.0,32.55,637,38.67,3.64,17568,50.99,47.3,1.0,1902,3.79,14.33,41.49,4.67,7.95,82.28,8.04269616,37.05,38.58,5.08,8.57
§_,5215,27.4,27.6,27.35,27.5,0.1,64.73,183,16.63,3.64,1494,8.52,33.02,1.08,249,1.24,9.47,22.34,0.83,5.43,25.26,1.0,15.47,19.81,3.15,4.07
§_,2836,9.0,9.14,9.0,9.1,0.1,16.08,292,11.53,3.63,9467,3.76,13.93,0.74,1396,0.69,1.34,94.64,0.65,104.03,0.0,0.13,0.0,12.3,0.06,1.08
§_,3437,16.25,16.7,16.05,16.65,0.55,24.14,900,72.78,3.6,2407,-53.78,20.62,0.9,869,2.97,10.1,43.61,0.81,14.45,12.85,0.6,1.41,1.56,0.42,0.73
